MET,TIME,SAMPLE,QT
shikimate,0.5,1,0.655
shikimate,0.5,2,0.647
shikimate,0.5,3,0.689
shikimate,1,1,0.822
shikimate,1,2,0.938
shikimate,1,3,0.761
shikimate,2,1,0.615
shikimate,2,2,0.607
shikimate,2,3,0.546
shikimate,4,1,0.522
shikimate,4,2,0.555
shikimate,4,3,0.494
shikimate,12,1,0.526
shikimate,12,2,0.525
shikimate,12,3,0.535
shikimate,24,1,0.281
shikimate,24,2,0.315
shikimate,24,3,0.397
shikimate,48,1,0.731
shikimate,48,2,0.745
shikimate,48,3,0.84
shikimate,72,1,1.94
shikimate,72,2,1.74
shikimate,72,3,2.16
citrate,0.5,1,1.02
citrate,0.5,2,0.998
citrate,0.5,3,1.17
citrate,1,1,1.14
citrate,1,2,1.71
citrate,1,3,1.04
citrate,2,1,1.63
citrate,2,2,1.6
citrate,2,3,1.33
citrate,4,1,1.24
citrate,4,2,1.37
citrate,4,3,1.27
citrate,12,1,0.94
citrate,12,2,1.01
citrate,12,3,0.994
citrate,24,1,0.409
citrate,24,2,0.199
citrate,24,3,0.398
citrate,48,1,0.655
citrate,48,2,0.544
citrate,48,3,0.504
citrate,72,1,0.765
citrate,72,2,0.766
citrate,72,3,0.794
D-fructose,0.5,1,0.73
D-fructose,0.5,2,0.746
D-fructose,0.5,3,0.756
D-fructose,1,1,1.15
D-fructose,1,2,1.1
D-fructose,1,3,1.01
D-fructose,2,1,0.875
D-fructose,2,2,0.89
D-fructose,2,3,0.899
D-fructose,4,1,0.676
D-fructose,4,2,0.657
D-fructose,4,3,0.708
D-fructose,12,1,0.254
D-fructose,12,2,0.298
D-fructose,12,3,0.26
D-fructose,24,1,0.642
D-fructose,24,2,0.598
D-fructose,24,3,0.617
D-fructose,48,1,0.846
D-fructose,48,2,0.828
D-fructose,48,3,0.848
D-fructose,72,1,1.47
D-fructose,72,2,1.65
D-fructose,72,3,1.49
glucose,0.5,1,0.97
glucose,0.5,2,0.97
glucose,0.5,3,0.97
glucose,1,1,1.03
glucose,1,2,1.01
glucose,1,3,0.995
glucose,2,1,1.02
glucose,2,2,1.01
glucose,2,3,1.04
glucose,4,1,0.873
glucose,4,2,0.887
glucose,4,3,0.788
glucose,12,1,0.868
glucose,12,2,0.821
glucose,12,3,0.891
glucose,24,1,0.372
glucose,24,2,0.289
glucose,24,3,0.373
glucose,48,1,0.627
glucose,48,2,0.642
glucose,48,3,0.631
glucose,72,1,0.583
glucose,72,2,0.585
glucose,72,3,0.586
lysine,0.5,1,1.32
lysine,0.5,2,1.31
lysine,0.5,3,1.3
lysine,1,1,1.81
lysine,1,2,0.414
lysine,1,3,1.54
lysine,2,1,1.84
lysine,2,2,1.84
lysine,2,3,1.86
lysine,4,1,1.36
lysine,4,2,1.09
lysine,4,3,1.18
lysine,12,1,0.653
lysine,12,2,0.644
lysine,12,3,0.813
lysine,24,1,0.261
lysine,24,2,0.173
lysine,24,3,0.363
lysine,48,1,0.964
lysine,48,2,0.878
lysine,48,3,0.967
lysine,72,1,0.252
lysine,72,2,0.262
lysine,72,3,0.25
tyrosine,0.5,1,1.78
tyrosine,0.5,2,1.8
tyrosine,0.5,3,1.84
tyrosine,1,1,4.19
tyrosine,1,2,3.46
tyrosine,1,3,4.11
tyrosine,2,1,3.81
tyrosine,2,2,3.36
tyrosine,2,3,3.86
tyrosine,4,1,0.913
tyrosine,4,2,1.46
tyrosine,4,3,1.36
tyrosine,12,1,0.799
tyrosine,12,2,0.734
tyrosine,12,3,0.708
tyrosine,24,1,0.303
tyrosine,24,2,0.235
tyrosine,24,3,0.222
tyrosine,48,1,2
tyrosine,48,2,0.687
tyrosine,48,3,1.43
tyrosine,72,1,0.118
tyrosine,72,2,0.156
tyrosine,72,3,0.138
gluconate,0.5,1,0.934
gluconate,0.5,2,0.953
gluconate,0.5,3,0.969
gluconate,1,1,1.15
gluconate,1,2,1.11
gluconate,1,3,1.08
gluconate,2,1,0.98
gluconate,2,2,1.01
gluconate,2,3,0.985
gluconate,4,1,0.896
gluconate,4,2,0.865
gluconate,4,3,0.948
gluconate,12,1,0.662
gluconate,12,2,0.717
gluconate,12,3,0.678
gluconate,24,1,0.386
gluconate,24,2,0.395
gluconate,24,3,0.361
gluconate,48,1,0.473
gluconate,48,2,0.49
gluconate,48,3,0.559
gluconate,72,1,0.504
gluconate,72,2,0.446
gluconate,72,3,0.482
galactonate,0.5,1,1.12
galactonate,0.5,2,1.24
galactonate,0.5,3,1.07
galactonate,1,1,0.943
galactonate,1,2,0.948
galactonate,1,3,0.913
galactonate,2,1,0.95
galactonate,2,2,0.95
galactonate,2,3,0.95
galactonate,4,1,0.863
galactonate,4,2,0.912
galactonate,4,3,0.902
galactonate,12,1,0.768
galactonate,12,2,0.731
galactonate,12,3,0.779
galactonate,24,1,0.572
galactonate,24,2,0.575
galactonate,24,3,0.608
galactonate,48,1,0.802
galactonate,48,2,0.698
galactonate,48,3,0.71
galactonate,72,1,0.733
galactonate,72,2,0.738
galactonate,72,3,0.676
inositol,0.5,1,1.03
inositol,0.5,2,1.03
inositol,0.5,3,1.03
inositol,1,1,0.517
inositol,1,2,0.739
inositol,1,3,0.795
inositol,2,1,0.82
inositol,2,2,0.834
inositol,2,3,0.821
inositol,4,1,0.858
inositol,4,2,0.84
inositol,4,3,0.829
inositol,12,1,1.03
inositol,12,2,0.98
inositol,12,3,1
inositol,24,1,2.41
inositol,24,2,2.48
inositol,24,3,2.44
inositol,48,1,1.65
inositol,48,2,1.68
inositol,48,3,1.6
inositol,72,1,1.64
inositol,72,2,1.61
inositol,72,3,1.61
uric acid,0.5,1,0.757
uric acid,0.5,2,0.768
uric acid,0.5,3,0.757
uric acid,1,1,1.52
uric acid,1,2,1.46
uric acid,1,3,1.5
uric acid,2,1,2.63
uric acid,2,2,2.6
uric acid,2,3,2.67
uric acid,4,1,0.337
uric acid,4,2,0.767
uric acid,4,3,0.706
uric acid,12,1,0.55
uric acid,12,2,0.634
uric acid,12,3,0.533
uric acid,24,1,0.659
uric acid,24,2,0.529
uric acid,24,3,1.23
uric acid,48,1,1.62
uric acid,48,2,1.6
uric acid,48,3,1.57
uric acid,72,1,1.45
uric acid,72,2,1.46
uric acid,72,3,1.51
sucrose,0.5,1,0.865
sucrose,0.5,2,0.848
sucrose,0.5,3,0.851
sucrose,1,1,1.11
sucrose,1,2,1.27
sucrose,1,3,1.14
sucrose,2,1,1.57
sucrose,2,2,1.64
sucrose,2,3,1.43
sucrose,4,1,1.01
sucrose,4,2,0.735
sucrose,4,3,1.09
sucrose,12,1,1.05
sucrose,12,2,1.05
sucrose,12,3,1.12
sucrose,24,1,0.569
sucrose,24,2,0.621
sucrose,24,3,0.551
sucrose,48,1,2.23
sucrose,48,2,2.15
sucrose,48,3,2.14
sucrose,72,1,9.92
sucrose,72,2,9.92
sucrose,72,3,10.1
trehalose,0.5,1,1.13
trehalose,0.5,2,1.21
trehalose,0.5,3,1.13
trehalose,1,1,1.09
trehalose,1,2,1.13
trehalose,1,3,0.998
trehalose,2,1,0.784
trehalose,2,2,0.971
trehalose,2,3,0.856
trehalose,4,1,0.708
trehalose,4,2,0.617
trehalose,4,3,0.723
trehalose,12,1,0.931
trehalose,12,2,0.873
trehalose,12,3,0.764
trehalose,24,1,0.754
trehalose,24,2,0.762
trehalose,24,3,0.858
trehalose,48,1,0.897
trehalose,48,2,0.704
trehalose,48,3,0.803
trehalose,72,1,1.42
trehalose,72,2,1.43
trehalose,72,3,1.44
